date,Stock Price,V,IV,Delta,Hedging Error,Total Wealth (without Hedge),PNL (without hedge),PNL (with hedge),
2011-07-05,532.440000,44.200000,0.219210,0.723497,0.000000,0.000000,0.000000,0.000000,
2011-07-06,535.360000,46.900000,0.226738,0.734158,-0.589959,-2.700000,-2.700000,-0.589959,
2011-07-07,546.600000,55.300000,0.226381,0.788611,-0.150673,-11.100000,-11.100000,-0.740633,
2011-07-08,531.990000,43.950000,0.224866,0.720139,-0.764558,0.250000,0.250000,-0.915231,
2011-07-11,527.280000,41.000000,0.233814,0.692120,-0.594823,3.200000,3.200000,-1.359381,
2011-07-12,534.010000,46.400000,0.242239,0.723448,-1.508784,-2.200000,-2.200000,-2.103607,
2011-07-13,538.260000,49.300000,0.241825,0.745705,-0.422612,-5.100000,-5.100000,-1.931396,
2011-07-14,528.940000,41.150000,0.228559,0.707495,-0.311005,3.050000,3.050000,-0.733617,
2011-07-15,597.620000,99.650000,0.234550,0.941925,-10.333840,-55.450000,-55.450000,-10.644845,
2011-07-18,594.940000,97.650000,0.254009,0.927373,-0.838185,-53.450000,-53.450000,-11.172025,
2011-07-19,602.550000,103.800000,0.223180,0.961745,-9.429300,-59.600000,-59.600000,-10.267485,
2011-07-20,595.350000,97.800000,0.251308,0.933170,-1.766025,-53.600000,-53.600000,-11.195325,
2011-07-21,606.990000,108.150000,0.228898,0.965988,-8.920741,-63.950000,-63.950000,-10.686766,
2011-07-22,618.230000,118.700000,0.201264,0.988396,-1.462201,-74.500000,-74.500000,-10.382942,
2011-07-25,618.980000,119.950000,0.246907,0.973106,-9.433434,-75.750000,-75.750000,-10.895635,
2011-07-26,622.520000,123.250000,0.238687,0.980347,-1.321321,-79.050000,-79.050000,-10.754755,
2011-07-27,607.220000,108.650000,0.254697,0.959141,-9.836891,-64.450000,-64.450000,-11.158213,
2011-07-28,610.940000,112.100000,0.251412,0.966529,-1.207357,-67.900000,-67.900000,-11.044248,
2011-07-29,603.690000,106.800000,0.308185,0.925674,-11.548304,-62.600000,-62.600000,-12.755661,
